0,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,32,34,36,38,40,42,44,46,48,50,52,54,56,58,60,62,64,66,68,70,72,74,76,78,80,82,84,86,88,90,92,94,96,98,100,102,104,106,108,110,112,114,116,118,120,122,124,126,128,130,132,134,136,138,140,142,144,146,148,150,152,154,156,158,160,162,164,166,168,170,172,174,176,178,180,182,184,186,188,190,192
50.0,53.0,56.0,59.0,62.0,65.0,68.0,71.0,74.0,77.0,80.0,83.0,86.0,89.0,92.0,95.0,98.0,101.0,104.0,107.0,110.0,113.0,116.0,119.0,122.0,125.0,128.0,131.0,134.0,137.0,140.0,143.0,146.0,149.0,152.0,161.0,164.0,167.0,170.0,173.0,176.0,179.0,182.0,185.0,188.0,191.0,194.0,197.0,200.0,203.0,206.0,209.0,212.0,215.0,218.0,221.0,224.0,227.0,230.0,233.0,236.0,239.0,242.0,245.0,248.0,251.0,254.0,257.0,260.0,263.0,266.0,269.0,272.0,275.0,278.0,281.0,284.0,287.0,290.0,293.0,296.0,299.0,302.0,305.0,308.0,311.0,314.0,317.0,320.0,323.0,326.0,329.0,332.0,335.0,0.0,,
50.0,53.0,56.0,59.0,62.0,65.0,68.0,71.0,74.0,77.0,80.0,83.0,86.0,89.0,92.0,95.0,98.0,101.0,104.0,107.0,110.0,113.0,116.0,119.0,122.0,125.0,128.0,131.0,134.0,137.0,140.0,143.0,146.0,149.0,152.0,158.0,161.0,164.0,167.0,170.0,173.0,176.0,179.0,182.0,185.0,188.0,191.0,194.0,197.0,200.0,203.0,206.0,209.0,212.0,215.0,218.0,221.0,224.0,227.0,230.0,233.0,236.0,239.0,242.0,245.0,248.0,251.0,254.0,257.0,260.0,263.0,266.0,269.0,272.0,275.0,278.0,281.0,284.0,287.0,290.0,293.0,296.0,299.0,302.0,305.0,308.0,311.0,314.0,317.0,320.0,323.0,326.0,329.0,332.0,335.0,0.0,
50.0,53.0,56.0,59.0,62.0,65.0,68.0,71.0,74.0,77.0,80.0,83.0,86.0,89.0,92.0,95.0,98.0,101.0,104.0,107.0,110.0,113.0,116.0,119.0,122.0,125.0,128.0,131.0,134.0,137.0,140.0,143.0,146.0,149.0,152.0,158.0,161.0,164.0,167.0,170.0,173.0,176.0,179.0,182.0,185.0,188.0,191.0,194.0,197.0,200.0,203.0,206.0,209.0,212.0,215.0,218.0,221.0,224.0,227.0,230.0,233.0,236.0,239.0,242.0,245.0,248.0,251.0,254.0,257.0,260.0,263.0,266.0,269.0,272.0,275.0,278.0,281.0,284.0,287.0,290.0,293.0,296.0,299.0,302.0,305.0,308.0,311.0,314.0,317.0,320.0,323.0,326.0,329.0,332.0,335.0,0.0,
50.0,53.0,56.0,59.0,62.0,65.0,68.0,71.0,74.0,77.0,80.0,83.0,86.0,89.0,92.0,95.0,98.0,101.0,104.0,107.0,110.0,113.0,116.0,119.0,122.0,125.0,128.0,131.0,134.0,137.0,140.0,143.0,146.0,149.0,158.0,161.0,164.0,167.0,170.0,173.0,176.0,179.0,182.0,185.0,188.0,191.0,194.0,197.0,200.0,203.0,206.0,209.0,212.0,215.0,218.0,221.0,224.0,227.0,230.0,233.0,236.0,239.0,242.0,245.0,248.0,251.0,254.0,257.0,260.0,263.0,266.0,269.0,272.0,275.0,278.0,281.0,284.0,287.0,290.0,293.0,296.0,299.0,302.0,305.0,308.0,311.0,314.0,317.0,320.0,323.0,326.0,329.0,332.0,335.0,0.0,,
50.0,53.0,56.0,59.0,62.0,65.0,68.0,71.0,74.0,77.0,80.0,83.0,86.0,89.0,92.0,95.0,98.0,101.0,104.0,107.0,110.0,113.0,116.0,119.0,122.0,125.0,128.0,131.0,134.0,137.0,140.0,143.0,146.0,149.0,152.0,161.0,164.0,167.0,170.0,173.0,176.0,179.0,182.0,185.0,188.0,191.0,194.0,197.0,200.0,203.0,206.0,209.0,212.0,215.0,218.0,221.0,224.0,227.0,230.0,233.0,236.0,239.0,242.0,245.0,248.0,251.0,254.0,257.0,260.0,263.0,266.0,269.0,272.0,275.0,278.0,281.0,284.0,287.0,290.0,293.0,296.0,299.0,302.0,305.0,308.0,311.0,314.0,317.0,320.0,323.0,326.0,329.0,332.0,335.0,0.0,,
50.0,53.0,56.0,59.0,62.0,65.0,68.0,71.0,74.0,77.0,80.0,83.0,86.0,89.0,92.0,95.0,98.0,101.0,104.0,107.0,110.0,113.0,116.0,119.0,122.0,125.0,128.0,131.0,134.0,137.0,140.0,143.0,146.0,149.0,152.0,155.0,158.0,161.0,164.0,167.0,170.0,173.0,176.0,179.0,182.0,185.0,188.0,191.0,194.0,197.0,200.0,203.0,206.0,209.0,212.0,215.0,218.0,221.0,224.0,227.0,230.0,233.0,236.0,239.0,242.0,245.0,248.0,251.0,254.0,257.0,260.0,263.0,266.0,269.0,272.0,275.0,278.0,281.0,284.0,287.0,290.0,293.0,296.0,299.0,302.0,305.0,308.0,311.0,314.0,317.0,320.0,323.0,326.0,329.0,332.0,335.0,0.0
50.0,53.0,56.0,59.0,62.0,65.0,68.0,71.0,74.0,77.0,80.0,83.0,86.0,89.0,92.0,95.0,98.0,101.0,104.0,107.0,110.0,113.0,116.0,119.0,122.0,125.0,128.0,131.0,134.0,137.0,140.0,143.0,146.0,149.0,152.0,158.0,161.0,164.0,167.0,170.0,173.0,176.0,179.0,182.0,185.0,188.0,191.0,194.0,197.0,200.0,203.0,206.0,209.0,212.0,215.0,218.0,221.0,224.0,227.0,230.0,233.0,236.0,239.0,242.0,245.0,248.0,251.0,254.0,257.0,260.0,263.0,266.0,269.0,272.0,275.0,278.0,281.0,284.0,287.0,290.0,293.0,296.0,299.0,302.0,305.0,308.0,311.0,314.0,317.0,320.0,323.0,326.0,329.0,332.0,335.0,0.0,
50.0,53.0,56.0,59.0,62.0,65.0,68.0,71.0,74.0,77.0,80.0,83.0,86.0,89.0,92.0,95.0,98.0,101.0,104.0,107.0,110.0,113.0,116.0,119.0,122.0,125.0,128.0,131.0,134.0,137.0,140.0,143.0,146.0,149.0,152.0,155.0,161.0,164.0,167.0,170.0,173.0,176.0,179.0,182.0,185.0,188.0,191.0,194.0,197.0,200.0,203.0,206.0,209.0,212.0,215.0,218.0,221.0,224.0,227.0,230.0,233.0,236.0,239.0,242.0,245.0,248.0,251.0,254.0,257.0,260.0,263.0,266.0,269.0,272.0,275.0,278.0,281.0,284.0,287.0,290.0,293.0,296.0,299.0,302.0,305.0,308.0,311.0,314.0,317.0,320.0,323.0,326.0,329.0,332.0,335.0,0.0,
50.0,53.0,56.0,59.0,62.0,65.0,68.0,71.0,74.0,77.0,80.0,83.0,86.0,89.0,92.0,95.0,98.0,101.0,104.0,107.0,110.0,113.0,116.0,119.0,122.0,125.0,128.0,131.0,134.0,137.0,140.0,143.0,146.0,149.0,152.0,155.0,161.0,164.0,167.0,170.0,173.0,176.0,179.0,182.0,185.0,188.0,191.0,194.0,197.0,200.0,203.0,206.0,209.0,212.0,215.0,218.0,221.0,224.0,227.0,230.0,233.0,236.0,239.0,242.0,245.0,248.0,251.0,254.0,257.0,260.0,263.0,266.0,269.0,272.0,275.0,278.0,281.0,284.0,287.0,290.0,293.0,296.0,299.0,302.0,305.0,308.0,311.0,314.0,317.0,320.0,323.0,326.0,329.0,332.0,335.0,0.0,
50.0,53.0,56.0,59.0,62.0,65.0,68.0,71.0,74.0,77.0,80.0,83.0,86.0,89.0,92.0,95.0,98.0,101.0,104.0,107.0,110.0,113.0,116.0,119.0,122.0,125.0,128.0,131.0,134.0,137.0,140.0,143.0,146.0,149.0,152.0,155.0,158.0,161.0,164.0,167.0,170.0,173.0,176.0,179.0,182.0,185.0,188.0,191.0,194.0,197.0,200.0,203.0,206.0,209.0,212.0,215.0,218.0,221.0,224.0,227.0,230.0,233.0,236.0,239.0,242.0,245.0,248.0,251.0,254.0,257.0,260.0,263.0,266.0,269.0,272.0,275.0,278.0,281.0,284.0,287.0,290.0,293.0,296.0,299.0,302.0,305.0,308.0,311.0,314.0,317.0,320.0,323.0,326.0,329.0,332.0,335.0,0.0
50.0,53.0,56.0,59.0,62.0,65.0,68.0,71.0,74.0,77.0,80.0,83.0,86.0,89.0,92.0,95.0,98.0,101.0,104.0,107.0,110.0,113.0,116.0,119.0,122.0,125.0,128.0,131.0,134.0,137.0,140.0,143.0,146.0,149.0,152.0,155.0,161.0,164.0,167.0,170.0,173.0,176.0,179.0,182.0,185.0,188.0,191.0,194.0,197.0,200.0,203.0,206.0,209.0,212.0,215.0,218.0,221.0,224.0,227.0,230.0,233.0,236.0,239.0,242.0,245.0,248.0,251.0,254.0,257.0,260.0,263.0,266.0,269.0,272.0,275.0,278.0,281.0,284.0,287.0,290.0,293.0,296.0,299.0,302.0,305.0,308.0,311.0,314.0,317.0,320.0,323.0,326.0,329.0,332.0,335.0,0.0,
50.0,53.0,56.0,59.0,62.0,65.0,68.0,71.0,74.0,77.0,80.0,83.0,86.0,89.0,92.0,95.0,98.0,101.0,104.0,107.0,110.0,113.0,116.0,119.0,122.0,125.0,128.0,131.0,134.0,137.0,140.0,143.0,146.0,149.0,158.0,161.0,164.0,167.0,170.0,173.0,176.0,179.0,182.0,185.0,188.0,191.0,194.0,197.0,200.0,203.0,206.0,209.0,212.0,215.0,218.0,221.0,224.0,227.0,230.0,233.0,236.0,239.0,242.0,245.0,248.0,251.0,254.0,257.0,260.0,263.0,266.0,269.0,272.0,275.0,278.0,281.0,284.0,287.0,290.0,293.0,296.0,299.0,302.0,305.0,308.0,311.0,314.0,317.0,320.0,323.0,326.0,329.0,332.0,335.0,0.0,,
50.0,53.0,56.0,59.0,62.0,65.0,68.0,71.0,74.0,77.0,80.0,83.0,86.0,89.0,92.0,95.0,98.0,101.0,104.0,107.0,110.0,113.0,116.0,119.0,122.0,125.0,128.0,131.0,134.0,137.0,140.0,143.0,146.0,149.0,152.0,161.0,164.0,167.0,170.0,173.0,176.0,179.0,182.0,185.0,188.0,191.0,194.0,197.0,200.0,203.0,206.0,209.0,212.0,215.0,218.0,221.0,224.0,227.0,230.0,233.0,236.0,239.0,242.0,245.0,248.0,251.0,254.0,257.0,260.0,263.0,266.0,269.0,272.0,275.0,278.0,281.0,284.0,287.0,290.0,293.0,296.0,299.0,302.0,305.0,308.0,311.0,314.0,317.0,320.0,323.0,326.0,329.0,332.0,335.0,0.0,,
50.0,53.0,56.0,59.0,62.0,65.0,68.0,71.0,74.0,77.0,80.0,83.0,86.0,89.0,92.0,95.0,98.0,101.0,104.0,107.0,110.0,113.0,116.0,119.0,122.0,125.0,128.0,131.0,134.0,137.0,140.0,143.0,146.0,149.0,152.0,161.0,164.0,167.0,170.0,173.0,176.0,179.0,182.0,185.0,188.0,191.0,194.0,197.0,200.0,203.0,206.0,209.0,212.0,215.0,218.0,221.0,224.0,227.0,230.0,233.0,236.0,239.0,242.0,245.0,248.0,251.0,254.0,257.0,260.0,263.0,266.0,269.0,272.0,275.0,278.0,281.0,284.0,287.0,290.0,293.0,296.0,299.0,302.0,305.0,308.0,311.0,314.0,317.0,320.0,323.0,326.0,329.0,332.0,335.0,0.0,,
50.0,53.0,56.0,59.0,62.0,65.0,68.0,71.0,74.0,77.0,80.0,83.0,86.0,89.0,92.0,95.0,98.0,101.0,104.0,107.0,110.0,113.0,116.0,119.0,122.0,125.0,128.0,131.0,134.0,137.0,140.0,143.0,146.0,149.0,152.0,158.0,161.0,164.0,167.0,170.0,173.0,176.0,179.0,182.0,185.0,188.0,191.0,194.0,197.0,200.0,203.0,206.0,209.0,212.0,215.0,218.0,221.0,224.0,227.0,230.0,233.0,236.0,239.0,242.0,245.0,248.0,251.0,254.0,257.0,260.0,263.0,266.0,269.0,272.0,275.0,278.0,281.0,284.0,287.0,290.0,293.0,296.0,299.0,302.0,305.0,308.0,311.0,314.0,317.0,320.0,323.0,326.0,329.0,332.0,335.0,0.0,
50.0,53.0,56.0,59.0,62.0,65.0,68.0,71.0,74.0,77.0,80.0,83.0,86.0,89.0,92.0,95.0,98.0,101.0,104.0,107.0,110.0,113.0,116.0,119.0,122.0,125.0,128.0,131.0,134.0,137.0,140.0,143.0,146.0,149.0,152.0,155.0,161.0,164.0,167.0,170.0,173.0,176.0,179.0,182.0,185.0,188.0,191.0,194.0,197.0,200.0,203.0,206.0,209.0,212.0,215.0,218.0,221.0,224.0,227.0,230.0,233.0,236.0,239.0,242.0,245.0,248.0,251.0,254.0,257.0,260.0,263.0,266.0,269.0,272.0,275.0,278.0,281.0,284.0,287.0,290.0,293.0,296.0,299.0,302.0,305.0,308.0,311.0,314.0,317.0,320.0,323.0,326.0,329.0,332.0,335.0,0.0,
50.0,53.0,56.0,59.0,62.0,65.0,68.0,71.0,74.0,77.0,80.0,83.0,86.0,89.0,92.0,95.0,98.0,101.0,104.0,107.0,110.0,113.0,116.0,119.0,122.0,125.0,128.0,131.0,134.0,137.0,140.0,143.0,146.0,149.0,152.0,155.0,158.0,161.0,167.0,170.0,173.0,176.0,179.0,182.0,185.0,188.0,191.0,194.0,197.0,200.0,203.0,206.0,209.0,212.0,215.0,218.0,221.0,224.0,227.0,230.0,233.0,236.0,239.0,242.0,245.0,248.0,251.0,254.0,257.0,260.0,263.0,266.0,269.0,272.0,275.0,278.0,281.0,284.0,287.0,290.0,293.0,296.0,299.0,302.0,305.0,308.0,311.0,314.0,317.0,320.0,323.0,326.0,329.0,332.0,335.0,0.0,
50.0,53.0,56.0,59.0,62.0,65.0,68.0,71.0,74.0,77.0,80.0,83.0,86.0,89.0,92.0,95.0,98.0,101.0,104.0,107.0,110.0,113.0,116.0,119.0,122.0,125.0,128.0,131.0,134.0,137.0,140.0,143.0,146.0,149.0,152.0,155.0,161.0,164.0,167.0,170.0,173.0,176.0,179.0,182.0,185.0,188.0,191.0,194.0,197.0,200.0,203.0,206.0,209.0,212.0,215.0,218.0,221.0,224.0,227.0,230.0,233.0,236.0,239.0,242.0,245.0,248.0,251.0,254.0,257.0,260.0,263.0,266.0,269.0,272.0,275.0,278.0,281.0,284.0,287.0,290.0,293.0,296.0,299.0,302.0,305.0,308.0,311.0,314.0,317.0,320.0,323.0,326.0,329.0,332.0,335.0,0.0,
50.0,53.0,56.0,59.0,62.0,65.0,68.0,71.0,74.0,77.0,80.0,83.0,86.0,89.0,92.0,95.0,98.0,101.0,104.0,107.0,110.0,113.0,116.0,119.0,122.0,125.0,128.0,131.0,134.0,137.0,140.0,143.0,146.0,149.0,152.0,155.0,164.0,167.0,170.0,173.0,176.0,179.0,182.0,185.0,188.0,191.0,194.0,197.0,200.0,203.0,206.0,209.0,212.0,215.0,218.0,221.0,224.0,227.0,230.0,233.0,236.0,239.0,242.0,245.0,248.0,251.0,254.0,257.0,260.0,263.0,266.0,269.0,272.0,275.0,278.0,281.0,284.0,287.0,290.0,293.0,296.0,299.0,302.0,305.0,308.0,311.0,314.0,317.0,320.0,323.0,326.0,329.0,332.0,335.0,0.0,,
